Date,Region,NonDetect,Low,Moderate,High,VeryHigh,InvalidOrMissing
2022-11-09,Clifton Court Forebay,83,0,0,0,0,26
2022-11-09,Liberty Island,79,0,0,8,0,57
2022-11-12,Franks Tract,99,0,2,0,0,65
2022-11-12,Mildred Island,19,0,0,0,0,23
2022-11-12,Clifton Court Forebay,63,0,0,0,0,46
2022-11-13,Franks Tract,90,0,0,0,0,76
2022-11-13,Clifton Court Forebay,75,3,0,0,0,31
2022-11-13,Liberty Island,72,3,4,4,0,61
2022-11-15,Franks Tract,123,0,0,0,0,43
2022-11-15,Mildred Island,20,0,0,0,0,22
2022-11-15,Clifton Court Forebay,90,1,0,0,0,18
2022-11-15,Liberty Island,105,0,0,0,0,39
2022-11-16,Franks Tract,117,0,0,0,0,49
2022-11-16,Mildred Island,19,0,0,0,0,23
2022-11-16,Clifton Court Forebay,88,0,0,0,0,21
2022-11-16,Liberty Island,99,0,3,0,0,42
2022-11-19,Franks Tract,113,2,1,0,0,50
2022-11-19,Mildred Island,18,0,0,0,0,24
2022-11-19,Clifton Court Forebay,87,0,1,0,0,21
2022-11-19,Liberty Island,111,0,1,1,0,31
2022-11-20,Franks Tract,110,0,3,1,0,52
2022-11-20,Mildred Island,16,0,0,1,0,25
2022-11-20,Clifton Court Forebay,80,0,0,0,0,29
2022-11-20,Liberty Island,103,1,0,3,0,37
2022-11-23,Franks Tract,122,0,0,0,0,44
2022-11-23,Mildred Island,21,0,0,0,0,21
2022-11-23,Clifton Court Forebay,86,0,0,0,0,23
2022-11-24,Franks Tract,94,0,0,1,0,71
2022-11-24,Mildred Island,16,0,0,0,0,26
2022-11-24,Clifton Court Forebay,80,0,1,0,0,28
2022-11-24,Liberty Island,92,0,6,3,0,43
2022-11-27,Franks Tract,90,0,1,0,0,75
2022-11-27,Mildred Island,19,0,0,0,0,23
2022-11-27,Clifton Court Forebay,66,0,1,0,0,42
2022-11-27,Liberty Island,71,1,4,1,0,67
2022-11-28,Franks Tract,58,0,0,0,0,108
2022-11-28,Clifton Court Forebay,81,0,0,0,0,28
2022-11-28,Liberty Island,52,0,0,0,0,92
