agency_cd,site_no,date_time,flow_inst,flow_inst_cd,tz_cd
USGS,11313434,2022-01-02T21:15:00Z,-9400,P,Etc/GMT+8
USGS,11313434,2022-01-02T21:30:00Z,-10000,P,Etc/GMT+8
USGS,11313434,2022-01-02T21:45:00Z,-7870,P,Etc/GMT+8
USGS,11313434,2022-01-02T22:00:00Z,-11200,P,Etc/GMT+8
USGS,11313434,2022-01-02T22:15:00Z,-10300,P,Etc/GMT+8
USGS,11313434,2022-01-02T22:30:00Z,-10400,P,Etc/GMT+8
USGS,11313434,2022-01-02T22:45:00Z,-8680,P,Etc/GMT+8
USGS,11313434,2022-01-02T23:00:00Z,-9770,P,Etc/GMT+8
USGS,11313434,2022-01-02T23:15:00Z,-10800,P,Etc/GMT+8
USGS,11313434,2022-01-02T23:30:00Z,-9080,P,Etc/GMT+8
USGS,11313434,2022-01-02T23:45:00Z,-7100,P,Etc/GMT+8
USGS,11313434,2022-01-03T00:00:00Z,-6840,P,Etc/GMT+8
USGS,11313434,2022-01-03T00:15:00Z,-6200,P,Etc/GMT+8
USGS,11313434,2022-01-03T00:30:00Z,-1360,P,Etc/GMT+8
USGS,11313434,2022-01-03T00:45:00Z,-4890,P,Etc/GMT+8
USGS,11313434,2022-01-03T01:00:00Z,-667,P,Etc/GMT+8
USGS,11313434,2022-01-03T01:15:00Z,5430,P,Etc/GMT+8
USGS,11313434,2022-01-03T01:30:00Z,5130,P,Etc/GMT+8
USGS,11313434,2022-01-03T01:45:00Z,6880,P,Etc/GMT+8
USGS,11313434,2022-01-03T02:00:00Z,8010,P,Etc/GMT+8
USGS,11313434,2022-01-03T02:15:00Z,10300,P,Etc/GMT+8
USGS,11313434,2022-01-03T02:30:00Z,11900,P,Etc/GMT+8
USGS,11313434,2022-01-03T02:45:00Z,12500,P,Etc/GMT+8
USGS,11313434,2022-01-03T03:00:00Z,13300,P,Etc/GMT+8
USGS,11313434,2022-01-03T03:15:00Z,13400,P,Etc/GMT+8
USGS,11313434,2022-01-03T03:30:00Z,13300,P,Etc/GMT+8
USGS,11313434,2022-01-03T03:45:00Z,13600,P,Etc/GMT+8
USGS,11313434,2022-01-03T04:00:00Z,14000,P,Etc/GMT+8
USGS,11313434,2022-01-03T04:15:00Z,13600,P,Etc/GMT+8
USGS,11313434,2022-01-03T04:30:00Z,12700,P,Etc/GMT+8
USGS,11313434,2022-01-03T04:45:00Z,12100,P,Etc/GMT+8
USGS,11313434,2022-01-03T05:00:00Z,12200,P,Etc/GMT+8
USGS,11313434,2022-01-03T05:15:00Z,12100,P,Etc/GMT+8
USGS,11313434,2022-01-03T05:30:00Z,11600,P,Etc/GMT+8
USGS,11313434,2022-01-03T05:45:00Z,11300,P,Etc/GMT+8
USGS,11313434,2022-01-03T06:00:00Z,10500,P,Etc/GMT+8
USGS,11313434,2022-01-03T06:15:00Z,10700,P,Etc/GMT+8
USGS,11313434,2022-01-03T06:30:00Z,10100,P,Etc/GMT+8
USGS,11313434,2022-01-03T06:45:00Z,9730,P,Etc/GMT+8
USGS,11313434,2022-01-03T07:00:00Z,9900,P,Etc/GMT+8
USGS,11313434,2022-01-03T07:15:00Z,9750,P,Etc/GMT+8
USGS,11313434,2022-01-03T07:30:00Z,9510,P,Etc/GMT+8
USGS,11313434,2022-01-03T07:45:00Z,9220,P,Etc/GMT+8
USGS,11313434,2022-01-03T08:00:00Z,9120,P,Etc/GMT+8
USGS,11313434,2022-01-03T08:15:00Z,9440,P,Etc/GMT+8
USGS,11313434,2022-01-03T08:30:00Z,9540,P,Etc/GMT+8
USGS,11313434,2022-01-03T08:45:00Z,9330,P,Etc/GMT+8
USGS,11313434,2022-01-03T09:00:00Z,6980,P,Etc/GMT+8
USGS,11313434,2022-01-03T09:15:00Z,5700,P,Etc/GMT+8
USGS,11313434,2022-01-03T09:30:00Z,3720,P,Etc/GMT+8
USGS,11313434,2022-01-03T09:45:00Z,283,P,Etc/GMT+8
USGS,11313434,2022-01-03T10:00:00Z,-3160,P,Etc/GMT+8
USGS,11313434,2022-01-03T10:15:00Z,-5640,P,Etc/GMT+8
USGS,11313434,2022-01-03T10:30:00Z,-8650,P,Etc/GMT+8
USGS,11313434,2022-01-03T10:45:00Z,-9720,P,Etc/GMT+8
USGS,11313434,2022-01-03T11:00:00Z,-10100,P,Etc/GMT+8
USGS,11313434,2022-01-03T11:15:00Z,-9790,P,Etc/GMT+8
USGS,11313434,2022-01-03T11:30:00Z,-10300,P,Etc/GMT+8
USGS,11313434,2022-01-03T11:45:00Z,-11300,P,Etc/GMT+8
USGS,11313434,2022-01-03T12:00:00Z,-9410,P,Etc/GMT+8
USGS,11313434,2022-01-03T12:15:00Z,-8270,P,Etc/GMT+8
USGS,11313434,2022-01-03T12:30:00Z,-6880,P,Etc/GMT+8
USGS,11313434,2022-01-03T12:45:00Z,-8320,P,Etc/GMT+8
USGS,11313434,2022-01-03T13:00:00Z,-7630,P,Etc/GMT+8
USGS,11313434,2022-01-03T13:15:00Z,-8520,P,Etc/GMT+8
USGS,11313434,2022-01-03T13:30:00Z,-6740,P,Etc/GMT+8
USGS,11313434,2022-01-03T13:45:00Z,-5360,P,Etc/GMT+8
USGS,11313434,2022-01-03T14:00:00Z,-8260,P,Etc/GMT+8
USGS,11313434,2022-01-03T14:15:00Z,-5420,P,Etc/GMT+8
USGS,11313434,2022-01-03T14:30:00Z,-3660,P,Etc/GMT+8
USGS,11313434,2022-01-03T14:45:00Z,-7380,P,Etc/GMT+8
USGS,11313434,2022-01-03T15:00:00Z,-2900,P,Etc/GMT+8
USGS,11313434,2022-01-03T15:15:00Z,-2940,P,Etc/GMT+8
USGS,11313434,2022-01-03T15:30:00Z,-2530,P,Etc/GMT+8
USGS,11313434,2022-01-03T15:45:00Z,-1710,P,Etc/GMT+8
USGS,11313434,2022-01-03T16:00:00Z,28.4,P,Etc/GMT+8
USGS,11313434,2022-01-03T16:15:00Z,3710,P,Etc/GMT+8
USGS,11313434,2022-01-03T16:30:00Z,2740,P,Etc/GMT+8
USGS,11313434,2022-01-03T16:45:00Z,3620,P,Etc/GMT+8
USGS,11313434,2022-01-03T17:00:00Z,3690,P,Etc/GMT+8
USGS,11313434,2022-01-03T17:15:00Z,4210,P,Etc/GMT+8
USGS,11313434,2022-01-03T17:30:00Z,4720,P,Etc/GMT+8
USGS,11313434,2022-01-03T17:45:00Z,5130,P,Etc/GMT+8
USGS,11313434,2022-01-03T18:00:00Z,5200,P,Etc/GMT+8
USGS,11313434,2022-01-03T18:15:00Z,4790,P,Etc/GMT+8
USGS,11313434,2022-01-03T18:30:00Z,4540,P,Etc/GMT+8
USGS,11313434,2022-01-03T18:45:00Z,4090,P,Etc/GMT+8
USGS,11313434,2022-01-03T19:00:00Z,3030,P,Etc/GMT+8
USGS,11313434,2022-01-03T19:15:00Z,1530,P,Etc/GMT+8
USGS,11313434,2022-01-03T19:30:00Z,-624,P,Etc/GMT+8
USGS,11313434,2022-01-03T19:45:00Z,-3480,P,Etc/GMT+8
USGS,11313434,2022-01-03T20:00:00Z,-5900,P,Etc/GMT+8
USGS,11313434,2022-01-03T20:15:00Z,-8270,P,Etc/GMT+8
USGS,11313434,2022-01-03T20:30:00Z,-10300,P,Etc/GMT+8
USGS,11313434,2022-01-03T20:45:00Z,-11100,P,Etc/GMT+8
USGS,11313434,2022-01-03T21:00:00Z,-11000,P,Etc/GMT+8
USGS,11313434,2022-01-03T21:15:00Z,-11600,P,Etc/GMT+8
USGS,11313434,2022-01-03T21:30:00Z,-12100,P,Etc/GMT+8
USGS,11313434,2022-01-03T21:45:00Z,-10900,P,Etc/GMT+8
USGS,11313434,2022-01-03T22:00:00Z,-9320,P,Etc/GMT+8
USGS,11313434,2022-01-03T22:15:00Z,-12000,P,Etc/GMT+8
USGS,11313434,2022-01-03T22:30:00Z,-12700,P,Etc/GMT+8
USGS,11313434,2022-01-03T22:45:00Z,-9520,P,Etc/GMT+8
USGS,11313434,2022-01-03T23:00:00Z,-9680,P,Etc/GMT+8
USGS,11313434,2022-01-03T23:15:00Z,-11300,P,Etc/GMT+8
USGS,11313434,2022-01-03T23:30:00Z,-9040,P,Etc/GMT+8
USGS,11313434,2022-01-03T23:45:00Z,-10100,P,Etc/GMT+8
USGS,11313434,2022-01-04T00:00:00Z,-11200,P,Etc/GMT+8
USGS,11313434,2022-01-04T00:15:00Z,-9460,P,Etc/GMT+8
USGS,11313434,2022-01-04T00:30:00Z,-8810,P,Etc/GMT+8
USGS,11313434,2022-01-04T00:45:00Z,-7730,P,Etc/GMT+8
USGS,11313434,2022-01-04T01:00:00Z,-5380,P,Etc/GMT+8
USGS,11313434,2022-01-04T01:15:00Z,-7730,P,Etc/GMT+8
USGS,11313434,2022-01-04T01:30:00Z,-6450,P,Etc/GMT+8
USGS,11313434,2022-01-04T01:45:00Z,-2370,P,Etc/GMT+8
USGS,11313434,2022-01-04T02:00:00Z,-1020,P,Etc/GMT+8
USGS,11313434,2022-01-04T02:15:00Z,2700,P,Etc/GMT+8
USGS,11313434,2022-01-04T02:30:00Z,5440,P,Etc/GMT+8
USGS,11313434,2022-01-04T02:45:00Z,5320,P,Etc/GMT+8
USGS,11313434,2022-01-04T03:00:00Z,8560,P,Etc/GMT+8
USGS,11313434,2022-01-04T03:15:00Z,10200,P,Etc/GMT+8
USGS,11313434,2022-01-04T03:30:00Z,11300,P,Etc/GMT+8
USGS,11313434,2022-01-04T03:45:00Z,12000,P,Etc/GMT+8
USGS,11313434,2022-01-04T04:00:00Z,12300,P,Etc/GMT+8
USGS,11313434,2022-01-04T04:15:00Z,12200,P,Etc/GMT+8
USGS,11313434,2022-01-04T04:30:00Z,12800,P,Etc/GMT+8
USGS,11313434,2022-01-04T04:45:00Z,13500,P,Etc/GMT+8
USGS,11313434,2022-01-04T05:00:00Z,13600,P,Etc/GMT+8
USGS,11313434,2022-01-04T05:15:00Z,13000,P,Etc/GMT+8
USGS,11313434,2022-01-04T05:30:00Z,13200,P,Etc/GMT+8
USGS,11313434,2022-01-04T05:45:00Z,12800,P,Etc/GMT+8
USGS,11313434,2022-01-04T06:00:00Z,12300,P,Etc/GMT+8
USGS,11313434,2022-01-04T06:15:00Z,12100,P,Etc/GMT+8
USGS,11313434,2022-01-04T06:30:00Z,10900,P,Etc/GMT+8
USGS,11313434,2022-01-04T06:45:00Z,11100,P,Etc/GMT+8
USGS,11313434,2022-01-04T07:00:00Z,10600,P,Etc/GMT+8
USGS,11313434,2022-01-04T07:15:00Z,10400,P,Etc/GMT+8
USGS,11313434,2022-01-04T07:30:00Z,10400,P,Etc/GMT+8
USGS,11313434,2022-01-04T07:45:00Z,10500,P,Etc/GMT+8
USGS,11313434,2022-01-04T08:00:00Z,10000,P,Etc/GMT+8
USGS,11313434,2022-01-04T08:15:00Z,9470,P,Etc/GMT+8
USGS,11313434,2022-01-04T08:30:00Z,9120,P,Etc/GMT+8
USGS,11313434,2022-01-04T08:45:00Z,8810,P,Etc/GMT+8
USGS,11313434,2022-01-04T09:00:00Z,8130,P,Etc/GMT+8
USGS,11313434,2022-01-04T09:15:00Z,7600,P,Etc/GMT+8
USGS,11313434,2022-01-04T09:30:00Z,7220,P,Etc/GMT+8
USGS,11313434,2022-01-04T09:45:00Z,6100,P,Etc/GMT+8
USGS,11313434,2022-01-04T10:00:00Z,3970,P,Etc/GMT+8
USGS,11313434,2022-01-04T10:15:00Z,1550,P,Etc/GMT+8
USGS,11313434,2022-01-04T10:30:00Z,-1600,P,Etc/GMT+8
USGS,11313434,2022-01-04T10:45:00Z,-3920,P,Etc/GMT+8
USGS,11313434,2022-01-04T11:00:00Z,-6670,P,Etc/GMT+8
USGS,11313434,2022-01-04T11:15:00Z,-9060,P,Etc/GMT+8
USGS,11313434,2022-01-04T11:30:00Z,-9560,P,Etc/GMT+8
USGS,11313434,2022-01-04T11:45:00Z,-9940,P,Etc/GMT+8
USGS,11313434,2022-01-04T12:00:00Z,-10500,P,Etc/GMT+8
USGS,11313434,2022-01-04T12:15:00Z,-10500,P,Etc/GMT+8
USGS,11313434,2022-01-04T12:30:00Z,-11400,P,Etc/GMT+8
USGS,11313434,2022-01-04T12:45:00Z,-10500,P,Etc/GMT+8
USGS,11313434,2022-01-04T13:00:00Z,-10500,P,Etc/GMT+8
USGS,11313434,2022-01-04T13:15:00Z,-8860,P,Etc/GMT+8
USGS,11313434,2022-01-04T13:30:00Z,-8230,P,Etc/GMT+8
USGS,11313434,2022-01-04T13:45:00Z,-8260,P,Etc/GMT+8
USGS,11313434,2022-01-04T14:00:00Z,-6950,P,Etc/GMT+8
USGS,11313434,2022-01-04T14:15:00Z,-8370,P,Etc/GMT+8
USGS,11313434,2022-01-04T14:30:00Z,-6740,P,Etc/GMT+8
USGS,11313434,2022-01-04T14:45:00Z,-7270,P,Etc/GMT+8
USGS,11313434,2022-01-04T15:00:00Z,-5570,P,Etc/GMT+8
USGS,11313434,2022-01-04T15:15:00Z,-7190,P,Etc/GMT+8
USGS,11313434,2022-01-04T15:30:00Z,-4400,P,Etc/GMT+8
USGS,11313434,2022-01-04T15:45:00Z,-2920,P,Etc/GMT+8
USGS,11313434,2022-01-04T16:00:00Z,-4700,P,Etc/GMT+8
USGS,11313434,2022-01-04T16:15:00Z,-2460,P,Etc/GMT+8
USGS,11313434,2022-01-04T16:30:00Z,-108,P,Etc/GMT+8
USGS,11313434,2022-01-04T16:45:00Z,2120,P,Etc/GMT+8
USGS,11313434,2022-01-04T17:00:00Z,5530,P,Etc/GMT+8
USGS,11313434,2022-01-04T17:15:00Z,4400,P,Etc/GMT+8
USGS,11313434,2022-01-04T17:30:00Z,5000,P,Etc/GMT+8
USGS,11313434,2022-01-04T17:45:00Z,5570,P,Etc/GMT+8
USGS,11313434,2022-01-04T18:00:00Z,6540,P,Etc/GMT+8
USGS,11313434,2022-01-04T18:15:00Z,7010,P,Etc/GMT+8
USGS,11313434,2022-01-04T18:30:00Z,7270,P,Etc/GMT+8
USGS,11313434,2022-01-04T18:45:00Z,7270,P,Etc/GMT+8
USGS,11313434,2022-01-04T19:00:00Z,7270,P,Etc/GMT+8
USGS,11313434,2022-01-04T19:15:00Z,7050,P,Etc/GMT+8
USGS,11313434,2022-01-04T19:30:00Z,6650,P,Etc/GMT+8
USGS,11313434,2022-01-04T19:45:00Z,5670,P,Etc/GMT+8
USGS,11313434,2022-01-04T20:00:00Z,4520,P,Etc/GMT+8
USGS,11313434,2022-01-04T20:15:00Z,3150,P,Etc/GMT+8
USGS,11313434,2022-01-04T20:30:00Z,1220,P,Etc/GMT+8
USGS,11313434,2022-01-04T20:45:00Z,-1130,P,Etc/GMT+8
USGS,11313434,2022-01-04T21:00:00Z,-3830,P,Etc/GMT+8
USGS,11313434,2022-01-04T21:15:00Z,-6440,P,Etc/GMT+8
USGS,11313434,2022-01-04T21:30:00Z,-9180,P,Etc/GMT+8
USGS,11313434,2022-01-04T21:45:00Z,-10700,P,Etc/GMT+8
USGS,11313434,2022-01-04T22:00:00Z,-11300,P,Etc/GMT+8
USGS,11313434,2022-01-04T22:15:00Z,-11100,P,Etc/GMT+8
USGS,11313434,2022-01-04T22:30:00Z,-12400,P,Etc/GMT+8
USGS,11313434,2022-01-04T22:45:00Z,-11800,P,Etc/GMT+8
USGS,11313434,2022-01-04T23:00:00Z,-11600,P,Etc/GMT+8
USGS,11313434,2022-01-04T23:15:00Z,-9790,P,Etc/GMT+8
USGS,11313434,2022-01-04T23:30:00Z,-9280,P,Etc/GMT+8
USGS,11313434,2022-01-04T23:45:00Z,-8940,P,Etc/GMT+8
USGS,11313434,2022-01-05T00:00:00Z,-11000,P,Etc/GMT+8
USGS,11313434,2022-01-05T00:15:00Z,-10300,P,Etc/GMT+8
USGS,11313434,2022-01-05T00:30:00Z,-11700,P,Etc/GMT+8
USGS,11313434,2022-01-05T00:45:00Z,-7840,P,Etc/GMT+8
USGS,11313434,2022-01-05T01:00:00Z,-10400,P,Etc/GMT+8
USGS,11313434,2022-01-05T01:15:00Z,-7680,P,Etc/GMT+8
USGS,11313434,2022-01-05T01:30:00Z,-7640,P,Etc/GMT+8
USGS,11313434,2022-01-05T01:45:00Z,-7480,P,Etc/GMT+8
USGS,11313434,2022-01-05T02:00:00Z,-4580,P,Etc/GMT+8
