Datetime,Cyanobacteria
8/6/2022 8:00:00 PM,8.47
8/6/2022 8:15:00 PM,9.06
8/6/2022 8:30:00 PM,8.64
8/6/2022 8:45:00 PM,8.44
8/6/2022 9:00:00 PM,8.82
8/6/2022 9:15:00 PM,9.59
8/6/2022 9:30:00 PM,9.87
8/6/2022 9:45:00 PM,9.51
8/6/2022 10:00:00 PM,10.38
8/6/2022 10:15:00 PM,10.63
8/6/2022 10:30:00 PM,11.40
8/6/2022 10:45:00 PM,10.52
8/6/2022 11:00:00 PM,10.93
8/6/2022 11:15:00 PM,10.58
8/6/2022 11:30:00 PM,11.21
8/6/2022 11:45:00 PM,11.31
8/7/2022 12:00:00 AM,11.54
8/7/2022 12:15:00 AM,11.22
8/7/2022 12:30:00 AM,10.73
8/7/2022 12:45:00 AM,11.13
8/7/2022 1:00:00 AM,11.12
8/7/2022 1:15:00 AM,10.54
8/7/2022 1:30:00 AM,11.09
8/7/2022 1:45:00 AM,10.34
8/7/2022 2:00:00 AM,9.95
8/7/2022 2:15:00 AM,9.76
8/7/2022 2:30:00 AM,10.60
8/7/2022 2:45:00 AM,10.60
8/7/2022 3:00:00 AM,10.37
8/7/2022 3:15:00 AM,11.42
8/7/2022 3:30:00 AM,10.55
8/7/2022 3:45:00 AM,9.28
8/7/2022 4:00:00 AM,8.98
8/7/2022 4:15:00 AM,9.38
8/7/2022 4:30:00 AM,9.22
8/7/2022 4:45:00 AM,8.39
8/7/2022 5:00:00 AM,8.37
8/7/2022 5:15:00 AM,7.65
8/7/2022 5:30:00 AM,7.98
8/7/2022 5:45:00 AM,7.17
8/7/2022 6:00:00 AM,6.96
8/7/2022 6:15:00 AM,6.50
8/7/2022 6:30:00 AM,6.48
8/7/2022 6:45:00 AM,6.28
8/7/2022 7:00:00 AM,5.98
8/7/2022 7:15:00 AM,5.71
8/7/2022 7:30:00 AM,5.75
8/7/2022 7:45:00 AM,5.44
8/7/2022 8:00:00 AM,5.13
8/7/2022 8:15:00 AM,5.19
8/7/2022 8:30:00 AM,4.57
8/7/2022 8:45:00 AM,4.61
8/7/2022 9:00:00 AM,4.58
8/7/2022 9:15:00 AM,4.41
8/7/2022 9:30:00 AM,4.64
8/7/2022 9:45:00 AM,3.96
8/7/2022 10:00:00 AM,4.05
8/7/2022 10:15:00 AM,5.09
8/7/2022 10:30:00 AM,5.11
8/7/2022 10:45:00 AM,5.45
8/7/2022 11:00:00 AM,5.26
8/7/2022 11:15:00 AM,6.75
8/7/2022 11:30:00 AM,5.63
8/7/2022 11:45:00 AM,6.15
8/7/2022 12:00:00 PM,6.04
8/7/2022 12:15:00 PM,5.92
8/7/2022 12:30:00 PM,6.40
8/7/2022 12:45:00 PM,6.50
8/7/2022 1:00:00 PM,6.65
8/7/2022 1:15:00 PM,7.22
8/7/2022 1:30:00 PM,6.87
8/7/2022 1:45:00 PM,7.34
8/7/2022 2:00:00 PM,7.79
8/7/2022 2:15:00 PM,7.87
8/7/2022 2:30:00 PM,8.45
8/7/2022 2:45:00 PM,8.25
8/7/2022 3:00:00 PM,8.64
8/7/2022 3:15:00 PM,7.91
8/7/2022 3:30:00 PM,8.70
8/7/2022 3:45:00 PM,8.36
8/7/2022 4:00:00 PM,8.77
8/7/2022 4:15:00 PM,9.68
8/7/2022 4:30:00 PM,8.80
8/7/2022 4:45:00 PM,8.21
8/7/2022 5:00:00 PM,7.09
8/7/2022 5:15:00 PM,7.16
8/7/2022 5:30:00 PM,8.09
8/7/2022 5:45:00 PM,6.72
8/7/2022 6:00:00 PM,5.83
8/7/2022 6:15:00 PM,6.03
8/7/2022 6:30:00 PM,6.38
8/7/2022 6:45:00 PM,5.48
8/7/2022 7:00:00 PM,6.23
8/7/2022 7:15:00 PM,5.76
8/7/2022 7:30:00 PM,5.68
8/7/2022 7:45:00 PM,6.82
8/7/2022 8:00:00 PM,5.89
8/7/2022 8:15:00 PM,6.50
8/7/2022 8:30:00 PM,6.92
8/7/2022 8:45:00 PM,7.16
8/7/2022 9:00:00 PM,7.94
8/7/2022 9:15:00 PM,8.61
8/7/2022 9:30:00 PM,8.45
8/7/2022 9:45:00 PM,8.35
8/7/2022 10:00:00 PM,8.26
8/7/2022 10:15:00 PM,9.58
8/7/2022 10:30:00 PM,9.62
8/7/2022 10:45:00 PM,9.75
8/7/2022 11:00:00 PM,9.68
8/7/2022 11:15:00 PM,9.68
8/7/2022 11:30:00 PM,9.91
8/7/2022 11:45:00 PM,9.29
8/8/2022 12:00:00 AM,9.62
8/8/2022 12:15:00 AM,10.11
8/8/2022 12:30:00 AM,10.04
8/8/2022 12:45:00 AM,10.41
8/8/2022 1:00:00 AM,10.24
8/8/2022 1:15:00 AM,10.91
8/8/2022 1:30:00 AM,10.15
8/8/2022 1:45:00 AM,10.78
8/8/2022 2:00:00 AM,11.45
8/8/2022 2:15:00 AM,11.16
8/8/2022 2:30:00 AM,10.87
8/8/2022 2:45:00 AM,10.32
8/8/2022 3:00:00 AM,9.79
8/8/2022 3:15:00 AM,9.20
8/8/2022 3:30:00 AM,9.18
8/8/2022 3:45:00 AM,9.95
8/8/2022 4:00:00 AM,9.58
8/8/2022 4:15:00 AM,9.54
8/8/2022 4:30:00 AM,8.08
8/8/2022 4:45:00 AM,8.33
8/8/2022 5:00:00 AM,9.14
8/8/2022 5:15:00 AM,8.23
8/8/2022 5:30:00 AM,7.48
8/8/2022 5:45:00 AM,7.40
8/8/2022 6:00:00 AM,7.43
8/8/2022 6:15:00 AM,6.84
8/8/2022 6:30:00 AM,6.55
8/8/2022 6:45:00 AM,6.22
8/8/2022 7:00:00 AM,6.31
8/8/2022 7:15:00 AM,5.56
8/8/2022 7:30:00 AM,5.12
8/8/2022 7:45:00 AM,5.31
8/8/2022 8:00:00 AM,4.87
8/8/2022 8:15:00 AM,4.57
8/8/2022 8:30:00 AM,4.50
8/8/2022 8:45:00 AM,4.11
8/8/2022 9:00:00 AM,4.21
8/8/2022 9:15:00 AM,4.27
8/8/2022 9:30:00 AM,4.23
8/8/2022 9:45:00 AM,3.83
8/8/2022 10:00:00 AM,3.68
8/8/2022 10:15:00 AM,3.68
8/8/2022 10:30:00 AM,3.38
8/8/2022 10:45:00 AM,3.20
8/8/2022 11:00:00 AM,3.83
8/8/2022 11:15:00 AM,3.84
8/8/2022 11:30:00 AM,3.94
8/8/2022 11:45:00 AM,4.04
8/8/2022 12:00:00 PM,4.24
8/8/2022 12:15:00 PM,4.90
8/8/2022 12:30:00 PM,4.79
8/8/2022 12:45:00 PM,4.93
8/8/2022 1:00:00 PM,5.38
8/8/2022 1:15:00 PM,5.10
8/8/2022 1:30:00 PM,5.26
8/8/2022 1:45:00 PM,5.51
8/8/2022 2:00:00 PM,5.59
8/8/2022 2:15:00 PM,6.15
8/8/2022 2:30:00 PM,5.89
8/8/2022 2:45:00 PM,5.92
8/8/2022 3:00:00 PM,6.25
8/8/2022 3:15:00 PM,6.48
8/8/2022 3:30:00 PM,6.68
8/8/2022 3:45:00 PM,6.71
8/8/2022 4:00:00 PM,6.69
8/8/2022 4:15:00 PM,6.86
8/8/2022 4:30:00 PM,6.67
8/8/2022 4:45:00 PM,7.15
8/8/2022 5:00:00 PM,7.46
8/8/2022 5:15:00 PM,7.86
8/8/2022 5:30:00 PM,8.00
8/8/2022 5:45:00 PM,6.57
8/8/2022 6:00:00 PM,7.46
8/8/2022 6:15:00 PM,7.01
8/8/2022 6:30:00 PM,6.46
8/8/2022 6:45:00 PM,6.41
8/8/2022 7:00:00 PM,5.40
8/8/2022 7:15:00 PM,4.54
8/8/2022 7:30:00 PM,4.34
8/8/2022 7:45:00 PM,6.08
8/8/2022 8:00:00 PM,4.79
8/8/2022 8:15:00 PM,4.89
8/8/2022 8:30:00 PM,4.67
8/8/2022 8:45:00 PM,5.02
8/8/2022 9:00:00 PM,5.39
8/8/2022 9:15:00 PM,5.39
8/8/2022 9:30:00 PM,5.33
8/8/2022 9:45:00 PM,5.51
8/8/2022 10:00:00 PM,6.29
8/8/2022 10:15:00 PM,6.93
8/8/2022 10:30:00 PM,6.61
8/8/2022 10:45:00 PM,7.06
8/8/2022 11:00:00 PM,7.82
8/8/2022 11:15:00 PM,7.23
8/8/2022 11:30:00 PM,7.81
8/8/2022 11:45:00 PM,7.36
8/9/2022 12:00:00 AM,7.26
8/9/2022 12:15:00 AM,6.77
8/9/2022 12:30:00 AM,6.82
8/9/2022 12:45:00 AM,7.18
8/9/2022 1:00:00 AM,7.03
8/9/2022 1:15:00 AM,7.78
8/9/2022 1:30:00 AM,7.11
8/9/2022 1:45:00 AM,7.75
8/9/2022 2:00:00 AM,7.94
8/9/2022 2:15:00 AM,7.32
8/9/2022 2:30:00 AM,7.13
8/9/2022 2:45:00 AM,7.66
8/9/2022 3:00:00 AM,6.40
8/9/2022 3:15:00 AM,6.01
8/9/2022 3:30:00 AM,8.00
8/9/2022 3:45:00 AM,6.40
8/9/2022 4:00:00 AM,7.51
8/9/2022 4:15:00 AM,7.07
8/9/2022 4:30:00 AM,6.56
8/9/2022 4:45:00 AM,6.93
8/9/2022 5:00:00 AM,6.99
8/9/2022 5:15:00 AM,6.43
8/9/2022 5:30:00 AM,6.20
8/9/2022 5:45:00 AM,6.23
8/9/2022 6:00:00 AM,6.32
8/9/2022 6:15:00 AM,5.94
8/9/2022 6:30:00 AM,5.70
8/9/2022 6:45:00 AM,5.59
8/9/2022 7:00:00 AM,5.44
8/9/2022 7:15:00 AM,5.22
8/9/2022 7:30:00 AM,4.72
8/9/2022 7:45:00 AM,4.94
8/9/2022 8:00:00 AM,4.23
